seed,lowsec
30002802,30004309
30000177,30004300
30001390,30002420
30001358,30004263
30001360,30004260
30002819,30004301
30002817,30004299
30001418,30003820
30000157,30004261
30002810,30004265
30002573,30004306
30002233,30002411
30004154,30004262
30001674,30003822
30005074,30004278
30004102,30002412
30004079,30003562
30002275,30003935
30002268,30003563
30000148,30003819
30002779,30003600
30002776,30004256
30002786,30003821
30002782,30004264
30001408,30003856
30001405,30003793
30000153,30003560
30000154,30003934
30002801,30004298
30000176,30004258
30000179,30004297
30002764,30002080
30001384,30003791
30001381,30003804
30001364,30003789
30001403,30003564
30001401,30001442
30001400,30004305
30001441,30003599
30001439,30004284
30000142,30003090
30000144,30004254
30001376,30003933
30001357,30002730
30002818,30045313
30000132,30000019
30000137,30005067
30001419,30004266
30002804,30004304
30000163,30004257
30000161,30004274
30000143,30000022
30000123,30004275
30000181,30003089
30000180,30003823
30000185,30002062
30000131,30003931
30000128,30002064
30002811,30001441
30002806,30003569
30000134,30005064
30000136,30003572
30002783,30004255
30002785,30003853
30002507,30003802
30002542,30003932
30002538,30002102
30002228,30002721
30004238,30002078
30004239,30003851
30005229,30003587
30005231,30000044
30004153,30045312
30004127,30003805
30004122,30000198
30005069,30004276
30004235,30003818
30003071,30002081
30003075,30004259
30004099,30003855
30004100,30004291
30004156,30005065
30003484,30045307
30003486,30045309
30003534,30003930
30003077,30003559
30003079,30003901
30005194,30003850
30005196,30003788
30000146,30002101
30002775,30002063
30002784,30003920
30000158,30002100
30002765,30002067
30002766,30001684
30002762,30005008
30001383,30003803
30001367,30004302
30001365,30005066
30001375,30000020
30001378,30003062
30001374,30004294
30001356,30000200
30002815,30002987
30002800,30002727
30000162,30004283
30000120,30004273
30000119,30003598
30001363,30005266
30000133,30002079
30002510,30005062
30002511,30005282
30002545,30003597
30002546,30001683
30002230,30003854
30004236,30004238
30001671,30002580
30005073,30003484
30004234,30005281
30004230,30000017
30004233,30003792
30003074,30005063
30001669,30003852
30004083,30004303
30003503,30004308
30045320,30005264
30045322,30002729
30001005,30003601
30001025,30003566
30004619,30003801
30005313,30003941
30005322,30003808
30002995,30002962
30001386,30004277
30004977,30045348
30003057,30003790
30045332,30045354
30045317,30000021
30045306,30003926
30005280,30002066
30005060,30003596
30005014,30000197
30004972,30005073
30004969,30004279
30004967,30004138
30004721,30002410
30004720,30000096
30004706,30003799
30004623,30005298
30004621,30003561
30004286,30002394
30004252,30000094
30004112,30005265
30003939,30003787
30003935,30002077
30003926,30002095
30003921,30000049
30003834,30003607
30003799,30002419
30003792,30004285
30003589,30003806
30003586,30003570
30003585,30003937
30003580,30003925
30003543,30003924
30003537,30000045
30003532,30045310
30003360,30005068
30003287,30000091
30003096,30002984
30003072,30003483
30003061,30003857
30003023,30002960
30003022,30002961
30002813,30045349
30002812,30000199
30002798,30002720
30002797,30004289
30002793,30000104
30002760,30002098
30002741,30004286
30002733,30004237
30002721,30003940
30002720,30003800
30002705,30000018
30002697,30005074
30002666,30003936
30002665,30003061
30002641,30003594
30002544,30045347
30002517,30005283
30002515,30045333
30002420,30000102
30002407,30001682
30002406,30005273
30002405,30003902
30002392,30002065
30002384,30000196
30002262,30045351
30002249,30045353
30002094,30005299
30002005,30002404
30001961,30004236
30001914,30003900
30001886,30004982
30001866,30004287
30001848,30000092
30001693,30003927
30001661,30004239
30001643,30003571
30001629,30003923
30001524,30045306
30001514,30003091
30001499,30002060
30001480,30002409
30001453,30045308
30001442,30003835
30001428,30002985
30001426,30005285
30001423,30000117
30001409,30002393
30001372,30004241
30001359,30003922
30001291,30003797
30001043,30045336
30001030,30002099
30001024,30002094
30001022,30005014
30001013,30005296
30001006,30003928
30000205,30045332
30000204,30002959
30000150,30003938
30000093,30003088
30000049,30005286
30000044,30003595
30000034,30002093
30000033,30004233
30000005,30002395
30000007,30045311
30000010,30002096
30000024,30005300
30000025,30003899
30000030,30004307
30000040,30003841
30000052,30005239
30000069,30003057
30000075,30001685
30000082,30000115
30000084,30002728
30000087,30002758
30000102,30003465
30000111,30003919
30000127,30003568
30000129,30045350
30000140,30002272
30000156,30002061
30000173,30004243
30000174,30045344
30000201,30005275
30000202,30005262
30001001,30004292
30001002,30002575
30001010,30002559
30001012,30003557
30001015,30005284
30001016,30004247
30001018,30003086
30001026,30002957
30001032,30003087
30001033,30003847
30001041,30000195
30001042,30002396
30001045,30003939
30001046,30002813
30001047,30045337
30001048,30005237
30001269,30002403
30001274,30005287
30001329,30002401
30001368,30001440
30001371,30000095
30001377,30004999
30001382,30003060
30001387,30045330
30001391,30004984
30001393,30004280
30001394,30001668
30001395,30005295
30001396,30005263
30001398,30045335
30001404,30003836
30001420,30000116
30001424,30003842
30001425,30001664
30001429,30001721
30001430,30003898
30001432,30002076
30001437,30003446
30001438,30003917
30001443,30000015
30001444,30002402
30001445,30004296
30001446,30003480
30001448,30001448
30001449,30002811
30001496,30005242
30001507,30003921
30001508,30003897
30001513,30000075
30001515,30002236
30001518,30005276
30001519,30005321
30001600,30002097
30001603,30002391
30001624,30003565
30001628,30005240
30001631,30004991
30001632,30002239
30001637,30005277
30001644,30000089
30001646,30002415
30001658,30002405
30001660,30002414
30001689,30002406
30001690,30002812
30001723,30000046
30001833,30002413
30001847,30003478
30001868,30002807
30001873,30002719
30001874,30003845
30001883,30001422
30001888,30005257
30001897,30002090
30001900,30005270
30001901,30004979
30001907,30004267
30001924,30003470
30001951,30002392
30002055,30002560
30002056,30045352
30002057,30005022
30002060,30002958
30002062,30003475
30002063,30003829
30002065,30002809
30002076,30002092
30002078,30005272
30002079,30004230
30002080,30005261
30002083,30003844
30002086,30045331
30002087,30000100
30002095,30005255
30002097,30005241
30002100,30000164
30002199,30004272
30002201,30000090
30002204,30003918
30002206,30003846
30002209,30004271
30002246,30045316
30002277,30002574
30002279,30004282
30002385,30004231
30002386,30004985
30002387,30002256
30002390,30005278
30002391,30045317
30002402,30004108
30002404,30004136
30002414,30002240
30002418,30002551
30002419,30004232
30002512,30004141
30002514,30002091
30002537,30002418
30002541,30000012
30002543,30004137
30002548,30002810
30002635,30004234
30002636,30005258
30002656,30002514
30002657,30000163
30002659,30002241
30002660,30000097
30002663,30002979
30002692,30005086
30002693,30045339
30002700,30001447
30002731,30000207
30002734,30003887
30002735,30003838
30002739,30002390
30002740,30003479
30002744,30005033
30002746,30005274
30002751,30002723
30002756,30002760
30002763,30045345
30002767,30002980
30002769,30005000
30002778,30002806
30002780,30000114
30002792,30002983
30002794,30004235
30002795,30005236
30002796,30001437
30002799,30002539
30002803,30003833
30002805,30045346
30002809,30002540
30002816,30003840
30002981,30003896
30003010,30005032
30003014,30002722
30003016,30001720
30003018,30005238
30003058,30002725
30003088,30003042
30003092,30005268
30003271,30045338
30003276,30002516
30003289,30004281
30003294,30005259
30003317,30005234
30003327,30004980
30003330,30000205
30003338,30003477
30003343,30003444
30003353,30001446
30003373,30003585
30003374,30003796
30003430,30005271
30003488,30002407
30003492,30003567
30003496,30005061
30003497,30005031
30003498,30000186
30003502,30004109
30003512,30003000
30003522,30003059
30003530,30003541
30003531,30002088
30003541,30000108
30003574,30005212
30003576,30004139
30003578,30003023
30003584,30002087
30003588,30000014
30003590,30002084
30003604,30003063
30003606,30002978
30003607,30002273
30003794,30003795
30003796,30001436
30003801,30005279
30003806,30003826
30003807,30000065
30003810,30001439
30003811,30002576
30003818,30001663
30003819,30002237
30003825,30003486
30003830,30001420
30003831,30003929
30003833,30004240
30003860,30002085
30003861,30002050
30003878,30003068
30003897,30002249
30003899,30000072
30003905,30000041
30003909,30045341
30003912,30005260
30003923,30002718
30004078,30004242
30004110,30000098
30004111,30002058
30004237,30000093
30004248,30002553
30004249,30002726
30004251,30003602
30004280,30003848
30004283,30004246
30004284,30003839
30004288,30002975
30004296,30004121
30004617,30003837
30004618,30005085
30004707,30005211
30004708,30000047
30004709,30004998
30004719,30003067
30004723,30002757
30004968,30002388
30004970,30004105
30004994,30003022
30004998,30002698
30005012,30000192
30005016,30002697
30005017,30003834
30005027,30001686
30005045,30005213
30005047,30005007
30005048,30002389
30005057,30002756
30005058,30001361
30005059,30004119
30005078,30004245
30005080,30003534
30005200,30002556
30005204,30002255
30005205,30002517
30005237,30045340
30005239,30002666
30005261,30000191
30005276,30002538
30005295,30000043
30005296,30045315
30005301,30003543
30005302,30000169
30005315,30045318
30005316,30002238
30005319,30004293
30005323,30002759
30005328,30002635
30045310,30002976
30045326,30000194
30045330,30003807
30045333,30000204
30045335,30002542
30045339,30004288
30045341,30002089
30045344,30002977
30045348,30001445
30045349,30000070
30005273,30002086
30005264,30003481
30005211,30004990
30005209,30005256
30005208,30004244
30005065,30002052
30005062,30001438
30005054,30000040
30005039,30005072
30005036,30002274
30005007,30000016
30005004,30002083
30004300,30003424
30004299,30002982
30004298,30005280
30004297,30003828
30004261,30003044
30004240,30004997
30004095,30002638
30004093,30002219
30004084,30045320
30003808,30005034
30003795,30002057
30003555,30005030
30003553,30000067
30003413,30002796
30003412,30045319
30003391,30004977
30003078,30004118
30002774,30005328
30002771,30002808
30002684,30001356
30002680,30002691
30002572,30005080
30002516,30002387
30002098,30004269
30002093,30000039
30002090,30003077
30002082,30003849
30001719,30002082
30001716,30005010
30001713,30003825
30001708,30002554
30001686,30005329
30001685,30000110
30001682,30002059
30001484,30004120
30001422,30005082
30001397,30005079
